Wavelength,W100000.asd,W100001.asd,W100002.asd,W100003.asd,W100004.asd,W100005.asd,W100006.asd,W100007.asd,W100008.asd,W100009.asd,W100010.asd,W100011.asd,W100012.asd,W100013.asd,W100014.asd,W100015.asd,W100016.asd,W100017.asd,W100018.asd,W100019.asd,W100020.asd,W100021.asd,W100022.asd,W100023.asd,W100024.asd,W100025.asd,W100026.asd,W100027.asd,W100028.asd,W100029.asd,W100030.asd,W100031.asd,W100032.asd,W100033.asd,W100034.asd,W100035.asd,W100036.asd,W100037.asd,W100038.asd,W100039.asd,W100040.asd,W100041.asd,W100042.asd,W100043.asd,W100044.asd,W100045.asd,W100046.asd,W100047.asd,W100048.asd,W100049.asd,W100050.asd,W100051.asd,W100052.asd,W100053.asd,W100054.asd,W100055.asd,W100056.asd,W100057.asd,W100058.asd,W100059.asd,W100060.asd,W100061.asd,W100062.asd,W100063.asd,W100064.asd,W100065.asd,W100066.asd,W100067.asd,W100068.asd,W100069.asd,W100070.asd,W100071.asd,W100072.asd,W100073.asd,W100074.asd,W100075.asd,W100076.asd,W100077.asd,W100078.asd,W100079.asd,W100080.asd
726,17955.73239,4288.52136,5212.479362,5089.747915,5091.234881,5092.304443,5241.427689,5022.314942,4902.327503,4783.682553,4914.642766,4433.037152,4507.523607,5038.449259,5140.993441,5543.430179,4484.139128,5006.533887,4843.536874,5117.153899,5342.73931,5772.308519,5514.318451,5869.72921,5117.316035,5749.151191,5575.014336,4912.625141,6127.545926,6590.984063,7242.833674,6963.573205,7523.661611,6881.239114,7341.288643,6778.681505,7740.016038,8393.495937,8250.342612,8297.344671,9087.9189,9375.912387,8522.386927,9725.829733,9732.704363,9546.73662,9344.609469,8178.994445,8725.036818,9663.43581,9590.830244,9980.624061,10728.17183,9676.750293,9738.25753,11091.62855,9996.786081,9646.615993,10858.15651,10208.17986,9698.000499,7898.450046,8629.644375,9245.362808,7896.198946,8817.06691,10381.94486,8608.033139,9239.021683,9664.334074,9603.520915,11130.68657,11211.22122,11884.72837,11377.23876,9903.328554,14298.38418,14231.09704,11798.28166,11930.35647,10396.04968
727,18109.77743,4512.287717,5512.084772,5366.521926,5373.248484,5374.425322,5528.808311,5282.950613,5160.272116,5066.343502,5173.387593,4664.054447,4734.126272,5311.88925,5419.181815,5840.3569,4721.572516,5274.035758,5103.671598,5388.268399,5626.783307,6079.978191,5788.689086,6172.280484,5377.332496,6049.800666,5890.42776,5158.655033,6451.053882,6934.774517,7613.661192,7371.654731,7941.377173,7233.068213,7726.438122,7127.431775,8127.016363,8847.938649,8669.491757,8743.709641,9563.957488,9846.046065,8945.262348,10207.85297,10208.83396,10029.70073,9729.994579,8518.565611,9058.028403,10052.15393,9991.255926,10402.58623,11186.4267,10057.8731,10110.64419,11539.52326,10465.37765,10091.45669,11365.90265,10664.3177,10145.09403,8301.310479,9053.479727,9665.914251,8257.942575,9234.662721,10852.16274,8965.242354,9664.896437,10109.23723,10044.93194,11655.51541,11747.01579,12464.26323,11930.34619,10386.32176,15003.55515,14903.80523,12371.53511,12496.4315,10912.9487
728,18428.08266,4783.738811,5870.356651,5702.636893,5715.60364,5712.741925,5883.55672,5603.684077,5474.124852,5404.420915,5488.476444,4938.0132,5011.271131,5643.968299,5763.093332,6202.507213,5008.143417,5603.219821,5418.421368,5724.543557,5962.199953,6453.116015,6123.518693,6545.637235,5692.820587,6408.852656,6265.42269,5457.829661,6831.679042,7349.986597,8066.628066,7847.411495,8438.056255,7661.444083,8190.814735,7549.246052,8592.84249,9385.178604,9168.942764,9271.968935,10125.86646,10411.81816,9451.159991,10779.86005,10775.84198,10593.06832,10195.09158,8928.573592,9462.458707,10523.10586,10471.95433,10907.53222,11732.53733,10521.24411,10554.29102,12081.22625,11029.22422,10619.02847,11971.55725,11207.75662,10677.75911,8775.997681,9554.373226,10169.62551,8687.811113,9732.717975,11409.98598,9395.467534,10169.31273,10639.70533,10567.98956,12285.23477,12379.74567,13150.69451,12587.88524,10954.43304,15838.11407,15696.44834,13050.81411,13168.84004,11531.63823
729,18940.51667,5113.504629,6301.046859,6112.189315,6135.402137,6125.706092,6323.828118,6003.149187,5865.240589,5801.010361,5880.035152,5260.416584,5349.881765,6045.562729,6191.754012,6652.921599,5352.989088,6004.219678,5800.823282,6135.928866,6363.481654,6896.367831,6535.622896,7005.81626,6073.996847,6846.963678,6714.376301,5827.865316,7283.944303,7855.743796,8624.218389,8385.287766,9029.139609,8189.246092,8749.48436,8062.391491,9160.130835,10020.87177,9774.654429,9896.326387,10799.53245,11098.76604,10066.8935,11465.76956,11463.04779,11264.10967,10769.99577,9421.685871,9954.492724,11103.89392,11048.21489,11515.31382,12378.13547,11079.10015,11098.65521,12736.76105,11713.17455,11252.09719,12688.90947,11858.15034,11311.32756,9335.228797,10148.13146,10768.34214,9201.425993,10329.66702,12078.41242,9920.951962,10761.30551,11267.80117,11199.8544,13048.38167,13144.07941,13967.87381,13373.47608,11622.04863,16824.12636,16629.67757,13863.57047,13976.3168,12272.64478
730,19750.58911,5531.57356,6857.632369,6642.356592,6673.53467,6664.018013,6884.947264,6503.462786,6370.854217,6314.450001,6384.643129,5693.177784,5797.77644,6564.656879,6731.878973,7236.231586,5802.988436,6517.502551,6288.766641,6647.230282,6909.158379,7484.681545,7074.224067,7593.106417,6575.543121,7431.448682,7297.490457,6305.633896,7870.572185,8492.881729,9334.871711,9080.942818,9778.422852,8836.811323,9460.582683,8709.186453,9864.691782,10823.69808,10525.55659,10684.52031,11647.14886,11946.12973,10836.52328,12329.53934,12332.23207,12125.08682,11491.21512,10041.21001,10565.78957,11840.90357,11772.62075,12276.0793,13207.59352,11773.218,11803.52838,13562.35644,12555.89234,12050.23918,13580.70593,12679.5115,12105.68624,10038.10885,10904.6324,11530.38478,9838.358058,11083.0309,12937.5619,10590.82484,11504.22044,12065.06166,12007.64344,13978.79565,14092.38906,14979.6355,14348.76574,12447.1435,18036.65145,17791.0118,14856.40065,14982.38928,13177.17923
731,20774.80797,6023.151082,7511.872931,7264.494518,7303.586991,7299.087665,7542.608643,7091.437978,6967.946664,6924.736986,6975.06141,6208.655943,6326.886805,7177.811762,7365.818423,7923.882993,6329.899537,7117.942634,6861.62114,7243.614568,7558.908534,8177.537088,7703.859535,8274.105206,7167.475112,8120.568873,7981.143961,6861.756502,8559.24221,9234.383242,10162.39032,9897.250946,10650.03127,9582.931176,10279.74609,9456.067856,10678.78069,11744.24562,11395.74322,11592.12063,12626.31852,12917.33282,11720.98352,13322.59729,13327.93596,13117.1218,12318.087,10753.47194,11274.10554,12683.65471,12604.72117,13149.32879,14165.77978,12575.06916,12619.43452,14516.58859,13515.94696,12965.67934,14608.73088,13625.06345,13016.23674,10848.8296,11775.47724,12407.35497,10573.06858,11952.96712,13925.89315,11360.06772,12359.7328,12987.64395,12936.76991,15038.42039,15173.08656,16137.30873,15462.25617,13393.44207,19412.00169,19119.68677,15982.7508,16129.98049,14204.23155
732,21882.96488,6561.348231,8215.692179,7931.322155,7982.006965,7982.676262,8256.369416,7742.446273,7617.661792,7593.196576,7607.653962,6759.074192,6890.973387,7843.561691,8062.449777,8667.828467,6888.135702,7763.909859,7483.524923,7898.554511,8245.36332,8908.517067,8368.766961,8996.966476,7799.55617,8847.261457,8709.701299,7450.444276,9295.286051,10035.12777,11048.57891,10768.00702,11583.92722,10393.14029,11138.58081,10250.1963,11556.7971,12705.89622,12340.67955,12548.48781,13668.52771,13955.10253,12659.23876,14368.84436,14366.17618,14148.73417,13189.3443,11505.7932,12041.63634,13557.51691,13481.13433,14071.48401,15165.22943,13437.3035,13470.32819,15532.21415,14530.36591,13924.74001,15708.76321,14620.97961,13973.1736,11708.86965,12684.84678,13323.64455,11362.6533,12875.24672,14948.82135,12160.57597,13265.25952,13963.95359,13903.44637,16168.40627,16308.08498,17363.6718,16634.29233,14401.18509,20852.62107,20518.99211,17171.59796,17331.87236,15291.00373
733,22778.80479,7048.305457,8856.324558,8534.039016,8600.892741,8600.751497,8903.132282,8331.476823,8218.933449,8204.760548,8183.085154,7259.741477,7390.560945,8435.755573,8688.240197,9324.833781,7401.777831,8345.351881,8044.147817,8494.60288,8855.105577,9569.139776,8970.104305,9653.956314,8357.083651,9508.095203,9379.639411,7984.388884,9971.393881,10761.20173,11846.3333,11568.28481,12445.76315,11133.4983,11931.12186,10972.07627,12351.90069,13597.32853,13200.31144,13433.6033,14623.05239,14909.08935,13501.20531,15323.29544,15309.24146,15095.7252,13972.82677,12189.3039,12725.22009,14337.56859,14268.48476,14895.81859,16051.3598,14208.59646,14231.59357,16408.81696,15446.1019,14804.28321,16686.73936,15519.20047,14841.87502,12496.92103,13514.66481,14151.22699,12073.99685,13695.56677,15864.71279,12872.77937,14085.5321,14834.93736,14770.1081,17193.09017,17353.93334,18477.87303,17703.57155,15321.37317,22173.11266,21787.19309,18263.25748,18416.85706,16283.62253
734,23389.29788,7458.431736,9406.002582,9048.034619,9133.102885,9126.871699,9455.024253,8829.937828,8736.737237,8726.592176,8673.657423,7681.849637,7807.5653,8930.332042,9215.69432,9870.814405,7845.209489,8836.073524,8517.803132,9000.524614,9363.761193,10127.75934,9480.351009,10212.98304,8819.364635,10071.39352,9959.926344,8440.507243,10552.07618,11378.30055,12517.32714,12262.72219,13193.34236,11769.24007,12618.60485,11591.36015,13029.6728,14378.52786,13934.11802,14204.43709,15449.23088,15729.06021,14215.07674,16139.4394,16116.65598,15915.9263,14629.04926,12764.78545,13285.3375,14986.99592,14925.42418,15579.3512,16783.00571,14846.13044,14860.61889,17113.39314,16222.29712,15556.66245,17500.31852,16272.27226,15580.89074,13177.25106,14224.50632,14850.2538,12672.20203,14381.08111,16632.19576,13466.36522,14781.28665,15561.02555,15500.88073,18065.00606,18257.05806,19428.98874,18620.79743,16112.63136,23313.94365,22866.20627,19206.75415,19337.81417,17136.68772
735,23740.59117,7795.53172,9876.479282,9490.258664,9587.425988,9575.569252,9929.523179,9253.94441,9156.376896,9157.865555,9082.098507,8016.474363,8169.596929,9355.040175,9668.171428,10344.56399,8211.641222,9248.424099,8918.647672,9420.073347,9791.333474,10584.2924,9903.367769,10672.92928,9215.321271,10534.49478,10449.35681,8825.217692,11027.9534,11895.11098,13068.93703,12854.19292,13818.37802,12309.88963,13183.45065,12119.62524,13609.82847,15034.33963,14554.44812,14842.77835,16157.43445,16399.22444,14830.03063,16807.08878,16789.92134,16600.69287,15158.49272,13215.78295,13726.77015,15507.37576,15448.49311,16122.83143,17371.0193,15353.22306,15345.20054,17704.8425,16867.47401,16155.56179,18181.76825,16870.50215,16188.05272,13751.5598,14802.14448,15416.8083,13166.60289,14959.80086,17254.10822,13953.78263,15355.38087,16158.19062,16109.05566,18793.93027,18991.49463,20222.47898,19382.27253,16782.69365,24266.18762,23759.59763,19994.556,20101.86638,17848.73674
736,24010.90337,8118.558085,10322.33477,9905.950253,10024.38069,10007.04908,10378.02751,9649.662976,9558.049917,9570.250985,9464.671359,8324.525272,8497.677283,9757.751207,10099.3179,10795.57,8554.715154,9638.916792,9293.022509,9817.636283,10201.90208,11018.45125,10299.77435,11099.09218,9590.470697,10973.73597,10914.29739,9185.732406,11475.23605,12386.27339,13595.28713,13420.05212,14416.74882,12809.32832,13719.25591,12611.27773,14145.21332,15655.22641,15135.12222,15450.29597,16813.64004,17021.52952,15396.26309,17435.32602,17417.40695,17231.62576,15626.92738,13621.59761,14110.9589,15973.67952,15910.6435,16604.19242,17903.15991,15799.56809,15773.93382,18232.15101,17463.94076,16710.65975,18803.58774,17416.11804,16737.38438,14279.66241,15339.29162,15936.30647,13613.48381,15496.79338,17820.54926,14397.89886,15873.47653,16707.26693,16664.2577,19454.1766,19673.28868,20952.46937,20086.5559,17391.00615,25140.18641,24581.06351,20714.65506,20812.0871,18510.76966
737,24300.01827,8456.260634,10777.67595,10326.23729,10475.24164,10453.19966,10835.64,10049.30051,9978.268767,10003.0032,9857.430175,8643.030015,8817.2788,10168.01156,10541.53913,11257.00857,8904.014478,10038.20067,9671.97145,10227.83007,10628.04743,11469.82631,10702.99393,11531.54537,9971.270375,11428.29068,11390.35062,9549.561626,11932.95079,12889.61314,14143.67851,14001.04004,15035.28115,13303.97441,14271.66456,13101.29092,14672.86857,16285.2615,15720.35484,16073.40907,17463.1242,17652.93299,15952.60475,18076.72747,18046.36807,17859.18539,16078.64014,14024.32306,14481.22792,16432.20443,16359.26166,17074.46546,18429.53511,16230.17715,16198.28292,18736.52242,18058.42003,17273.37809,19415.57528,17965.43487,17275.27404,14800.89472,15882.85349,16453.8868,14050.40314,16030.51786,18385.28306,14834.94806,16379.44846,17253.67828,17209.495,20098.91336,20359.80055,21675.21643,20788.89747,17981.89644,26003.18932,25394.81572,21421.56724,21523.78662,19174.33419
738,24653.99566,8811.986208,11268.31438,10780.62666,10946.45191,10923.01012,11336.51167,10485.70305,10415.17791,10477.45892,10294.69599,9006.054202,9174.620152,10603.50717,11015.06828,11754.11711,9275.242177,10456.9719,10083.93767,10665.75694,11072.26824,11945.32989,11128.01235,12003.55661,10366.9022,11911.21463,11891.20969,9931.705241,12414.31721,13412.09425,14722.42009,14612.29411,15682.53487,13828.8691,14850.6315,13617.86437,15227.43762,16931.44367,16338.94456,16709.82832,18151.5766,18330.70443,16543.19802,18737.00943,18692.93359,18526.63579,16556.79995,14442.44295,14886.19426,16919.07468,16838.91061,17581.60877,18975.49291,16683.50746,16654.8116,19262.82699,18675.77686,17847.80133,20063.23048,18549.51318,17839.72547,15352.8919,16447.10574,16983.62626,14511.39931,16578.23162,18986.10004,15282.98894,16917.20339,17817.0942,17773.77932,20787.00597,21065.53697,22427.83268,21518.86742,18607.79225,26909.14038,26233.04066,22159.52694,22256.70086,19869.80295
739,25041.85798,9176.345718,11780.68573,11253.54079,11435.4842,11405.94413,11857.45353,10938.61002,10870.92605,10969.08029,10746.77949,9377.959505,9550.703512,11050.79146,11500.90253,12267.48087,9661.888533,10886.49314,10512.84886,11114.95179,11531.98754,12435.9526,11567.52047,12490.64936,10774.11217,12403.68133,12414.0662,10330.01322,12907.58295,13945.7328,15321.0547,15235.87613,16343.99255,14368.78329,15441.95739,14149.7218,15802.23012,17592.05493,16977.71735,17361.2672,18857.59434,19018.21419,17149.20149,19409.37574,19355.70463,19209.0804,17048.87017,14871.22273,15298.41515,17417.16846,17328.82611,18103.58378,19531.94794,17151.4103,17118.46041,19800.79271,19299.79775,18430.87553,20722.81577,19142.68145,18418.7635,15916.60023,17025.61896,17530.36291,14986.2635,17140.90278,19599.64112,15735.55694,17462.09475,18390.05437,18351.46949,21493.48058,21780.36293,23199.93046,22264.29134,19251.32707,27829.16117,27090.31189,22915.6633,23001.73237,20576.15378
740,25435.47751,9540.233133,12299.4021,11729.65698,11936.76104,11892.04387,12378.19024,11390.38175,11341.57769,11456.66798,11189.38949,9732.293386,9927.132292,11498.22628,11983.3531,12780.13985,10055.16934,11319.21028,10942.87577,11561.39562,12000.41489,12930.93539,12012.13914,12972.11576,11187.62443,12890.40692,12951.34305,10738.03577,13401.91224,14483.04309,15926.40159,15858.28019,17007.21242,14910.69891,16034.09953,14686.33036,16388.0304,18262.70473,17622.29799,18025.35872,19563.00181,19688.19719,17753.75896,20085.50737,20030.31226,19885.45441,17543.35897,15303.85524,15698.29037,17910.73789,17812.56133,18620.56746,20088.82382,17623.89059,17569.96004,20340.45055,19918.24918,19018.07781,21374.96423,19724.90458,19000.31875,16476.76664,17609.13785,18092.60769,15464.4745,17713.77902,20205.20411,16187.22168,17995.56983,18965.04418,18935.13993,22196.83042,22495.87088,23978.78917,23012.26029,19896.36099,28740.19158,27957.53807,23676.64043,23748.74317,21276.12539
741,25831.61583,9897.33409,12803.64956,12198.84455,12435.24764,12379.56717,12898.1984,11842.49355,11796.37415,11936.9819,11626.80829,10089.46195,10291.61292,11949.0144,12468.4628,13294.12683,10439.21562,11760.40232,11362.01741,12006.46379,12453.36054,13416.30584,12447.33664,13450.83075,11598.23254,13378.23173,13477.99971,11130.98868,13896.65559,15026.98263,16517.14501,16495.03369,17676.2298,15461.32306,16637.02183,15229.43091,16972.69161,18934.80315,18257.9429,18688.63441,20274.81663,20364.92624,18357.12391,20757.80903,20709.87931,20560.33561,18043.41457,15728.34835,16112.65835,18396.16207,18302.93732,19131.29216,20638.74733,18089.07111,18024.53789,20883.95768,20548.98467,19605.22477,22031.06467,20311.53368,19581.12078,17043.66609,18180.33657,18648.08181,15941.31452,18270.50748,20801.50198,16645.19082,18536.15377,19543.82054,19517.96084,22903.31364,23223.68503,24750.30802,23754.86912,20542.14829,29657.75373,28818.87067,24437.41164,24491.61463,21977.17866
